iter	Passed	Remaining
0	0	74
1	1	75
2	2	87
3	3	95
4	6	114
5	7	113
6	8	117
7	10	120
8	11	117
9	13	117
10	14	120
11	16	119
12	17	115
13	18	113
14	19	111
15	21	111
16	22	109
17	23	106
18	24	104
19	25	101
20	26	99
21	27	98
22	28	95
23	29	93
24	30	91
25	31	90
26	32	88
27	33	86
28	34	85
29	36	84
30	37	82
31	38	81
32	39	80
33	40	78
34	41	76
35	41	74
36	42	72
37	43	70
38	44	69
39	44	67
40	45	65
41	45	63
42	46	61
43	46	59
44	47	58
45	48	56
46	48	55
47	49	53
48	50	52
49	51	51
50	51	49
51	52	48
52	53	47
53	53	45
54	54	44
55	54	43
56	55	41
57	56	40
58	56	39
59	57	38
60	57	37
61	58	35
62	59	34
63	59	33
64	60	32
65	61	31
66	61	30
67	62	29
68	63	28
69	63	27
70	64	26
71	65	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	69	18
79	70	17
80	71	16
81	71	15
82	72	14
83	73	13
84	73	13
85	74	12
86	74	11
87	75	10
88	76	9
89	76	8
90	77	7
91	78	6
92	78	5
93	79	5
94	80	4
95	80	3
96	81	2
97	82	1
98	82	0
99	83	0
